ID,Name,Rarity,Category,Sell,Buy
1,Potion,1,Support Items,8,66
2,Mega Potion,2,Support Items,16,165
3,Max Potion,3,Support Items,210,2138
4,Ancient Potion,5,Support Items,345,3454
5,Antidote,1,Support Items,6,60
6,Herbal Medicine,2,Support Items,25,250
7,Nulberry,2,Support Items,120,1200
8,Energy Drink,2,Support Items,6,60
9,Ration,1,Support Items,3,30
10,Rare Steak,1,Support Items,3,30
11,Well-done Steak,2,Support Items,48,96
12,Burnt Meat,1,Support Items,1,10
13,Cool Drink,1,Support Items,30,300
14,Nutrients,2,Support Items,25,760
15,Mega Nutrients,3,Support Items,92,920
16,Immunizer,3,Support Items,92,923
17,Astera Jerky,2,Support Items,10,98
18,Dash Juice,2,Support Items,29,293
19,Mega Dash Juice,4,Support Items,205,1028
20,Might Seed,2,Support Items,140,280
21,Demondrug,4,Support Items,67,668
22,Mega Demondrug,5,Support Items,283,2831
23,Might Pill,4,Support Items,280,2831
24,Adamant Seed,2,Support Items,110,220
25,Armorskin,4,Support Items,58,578
26,Mega Armorskin,5,Support Items,269,2696
27,Adamant Pill,4,Support Items,260,2696
28,Lifepowder,4,Support Items,190,480
29,Herbal Powder,4,Support Items,315,6300
30,Demon Powder,4,Support Items,315,6300
31,Hardshell Powder,4,Support Items,315,6300
32,Honey,2,Support Items,45,90
33,Herb,1,Support Items,2,20
34,Antidote Herb,1,Support Items,2,20
35,Fire Herb,2,Support Items,4,44
36,Flowfern,1,Support Items,4,44
37,Snow Herb,2,Support Items,6,64
38,Sleep Herb,1,Support Items,5,50
39,Ivy,1,Support Items,8,75
40,Smokenut,1,Support Items,4,44
41,Dragonfell Berry,4,Support Items,78,780
42,Blue Mushroom,2,Support Items,2,24
43,Mandragora,3,Support Items,40,400
44,Nitroshroom,2,Support Items,6,60
45,Devil's Blight,2,Support Items,60,600
46,Parashroom,3,Support Items,15,150
47,Toadstool,2,Support Items,8,75
48,Exciteshroom,3,Support Items,18,180
49,Bitterbug,1,Support Items,2,20
50,Flashbug,2,Support Items,48,96
51,Godbug,4,Support Items,120,320
52,Thunderbug,4,Support Items,80,300
53,Baitbug,3,Support Items,2,20
54,Kelbi Horn,4,Support Items,52,240
55,Dash Extract,4,Support Items,56,560
56,Nourishing Extract,4,Support Items,122,1220
57,Screamer Sac,2,Support Items,15,150
58,Catalyst,2,Support Items,48,480
59,Tranq Bomb,3,Support Items,35,350
