Type,ID,Name
1,0,Nothing Equipped
1,1,Iron Sword
1,2,Iron Sword+
1,3,Buster Sword
1,4,Buster Sword+
1,5,Buster Blade
1,6,Ravager Blade
1,7,Ravager Blade+
1,8,Lacerator Blade
1,9,Lacerator Blade+
1,10,Iron Katana
1,11,"Iron Katana ""Grace"""
1,12,"Iron Katana ""Gospel"""
1,13,"Bone Katana ""Wolf"""
1,14,"Bone Katana ""Shark"""
1,15,"Bone Katana ""Dragon"""
1,16,Black Katana Mk.I
1,17,Black Katana Mk.II
1,18,Defender
1,19,Defender+
1,20,Sentinel
1,21,Halberd
1,22,Halberd+
1,23,Judgment
1,24,Executioner
1,25,Executioner+
1,26,Dark Scythe
1,27,Tormentor
1,28,Bone Blade
1,29,Bone Blade+
1,30,Agito
1,31,Agito+
1,32,Dragon Agito
1,33,Golem Blade
1,34,Golem Blade+
1,35,Valkyrie Blade
1,36,Sieglinde
1,37,Dragonslayer
1,38,Dragon Massacre
1,39,Finblade
1,40,Finblade+
1,41,Plesioth Watersword
1,42,Redwing
1,43,Rathalos Firesword
1,44,Rusted Great Sword
1,45,Tarnished Great Swd
1,46,Legendary Great Swd
1,47,Ancient Blade
1,48,Bone
1,49,Large Bone
1,50,Fire Dragonsword
1,51,Red Dragonsword
1,52,Serpentblade
1,53,Vile Serpentblade
1,54,Great Serpentblade
1,55,Iron Hammer
1,56,Iron Hammer+
1,57,War Hammer
1,58,War Hammer+
1,59,War Mace
1,60,Iron Striker
1,61,Iron Striker+
1,62,Iron Impact
1,63,Iron Impact+
1,64,Spiked Hammer
1,65,Spiked Hammer+
1,66,Crystal Hammer
1,67,Crystal Nova
1,68,Anvil Hammer
1,69,Earthshaker
1,70,Bone Axe
1,71,Bone Axe+
1,72,Bone Broadaxe
1,73,Gigaton Hammer
1,74,Gigaton Hammer+
1,75,Titan Hammer
1,76,Shell Hammer
1,77,Graviton Hammer
1,78,Bone Hammer
1,79,Bone Hammer+
1,80,Cyclo-Hammer
1,81,Cyclo-Hammer+
1,82,Atlas Hammer
1,83,Skullcrusher
1,84,Skullcrusher+
1,85,Kut-Ku Chin
1,86,Kut-Ku Jaw
1,87,Diablo Hammer
1,88,Diablo Hammer+
1,89,Diablos Maul
1,90,Jail Hammer
1,91,Jail Hammer+
1,92,Prison Hammer
1,93,Gunhammer Prototype
1,94,Dead Revolver
1,95,Rusted Hammer
1,96,Tarnished Hammer
1,97,Legendary Hammer
1,98,Breath Core Hammer
1,99,Bone Club
1,100,Great Bone Club
1,101,Dragon Destroyer
1,102,Dragonbreaker
1,103,Iron Lance
1,104,Iron Lance+
1,105,Knight Lance
1,106,Knight Lance+
1,107,Knight Spear
1,108,Paladin Lance
1,109,Paladin Lance+
1,110,Rampart
1,111,Babel Spear
1,112,Iron Knight's Pike
1,113,Steel Knight's Pike
1,114,Dragon Knight's Pike
1,115,Dark Lance
1,116,Dark Lance+
1,117,Dark Spear
1,118,Shock Lance
1,119,Trident
1,120,Bone Javelin
1,121,Bone Javelin+
1,122,Spiked Spear
1,123,Aqua Spear
1,124,Aqua Spear+
1,125,Lullaby Spear
1,126,Requiem Spear
1,127,Bone Lance
1,128,Bone Lance+
1,129,Longhorn
1,130,Longhorn+
1,131,Long Tusk
1,132,Barbarian Tusk
1,133,Barbarian Tusk+
1,134,Barbaroi Tusk
1,135,Ogre Tusk
1,136,Red Tail
1,137,Red Tail+
1,138,Hellfire
1,139,Diablo Horn
1,140,Diablos Lance+
1,141,Diablo Spear
1,142,Crimson Lance
1,143,Crimson War Pike
1,144,Venom Lance
1,145,Venom Lance+
1,146,Basarios Venom Spear
1,147,Gravios Spear
1,148,Gunlance Prototype
1,149,Gatling Lance
1,150,Rusted Lance
1,151,Tarnished Lance
1,152,Legendary Lance
1,153,Undertaker
1,154,Dragonlance
1,155,Dragoon Lord
1,156,Hunter's Knife
1,157,Hunter's Knife+
1,158,Hunter's Dagger
1,159,Hunter's Dagger+
1,160,Assassin's Dagger
1,161,Kirin Bolt
1,162,Kirin Bolt+
1,163,Kirin Bolt Mega
1,164,Kirin Bolt Ultimus
1,165,Serpent Bite
1,166,Serpent Bite+
1,167,Viper Bite
1,168,Viper Bite+
1,169,Deathprize
1,170,Hydra Bite
1,171,Hydra Bite+
1,172,Deadly Poison
1,173,Thunderbane
1,174,Thunderbane+
1,175,Frightbane
1,176,Poison Axe
1,177,Poison Battleaxe
1,178,Bone Kris
1,179,Bone Kris+
1,180,Bonepick
1,181,Bonepick+
1,182,Bonespike
1,183,Red Saber
1,184,Red Saber+
1,185,Flame Falchion
1,186,Blazing Falchion
1,187,Weary Finsword
1,188,Weary Finsword+
1,189,Sandman Finsword
1,190,Hero's Blade
1,191,Master's Blade
1,192,Studded Club
1,193,Studded Club+
1,194,Spiked Bat
1,195,Crimson Club
1,196,Monoblos Club
1,197,Rusted Sword
1,198,Tarnished Sword
1,199,Legendary Sword
1,200,Eternal Strife
1,201,Kitchen Knife
1,202,Iron Chefblade
1,203,Dragonbuster
1,204,Dragonblood
1,205,Catspaw
1,206,Catburglar
1,207,Tactical Blade
1,208,Eager Cleaver
1,209,Divine Slasher
1,210,Chrome Razor
1,211,Eternal Annihilator
1,212,Finishing Hammer
1,213,Onslaught Hammer
1,214,Binder Mace
1,215,Iron Devil
1,216,Grayburg Javelin
1,217,Nightmare
1,218,Spear of Prominence
1,219,Black Dragon Spear
1,220,Thundertip
1,221,Corona
1,222,Black Dragon Sword
1,223,Odyssey
1,224,Teddybear
1,225,Valhalla
1,226,Ninja Sword
1,227,Enormous Ham
1,228,Siegmund
1,229,Frozen Tuna
1,230,Cactus Creamer
1,231,Vacuum Striker
1,232,Native Spear
1,233,Polytan
1,234,Twin Dagger
1,235,Twin Dagger+
1,236,Hurricane
1,237,Hurricane+
1,238,Cyclone
1,239,Dual Tomahawk
1,240,Dual Tomahawk+
1,241,Guild Rapier
1,242,Guild Rapier+
1,243,Guild Saber
1,244,Prototype Saw-Slicer
1,245,Guillotine
1,246,Bone Scythe
1,247,Bone Scythe+
1,248,Cutlass
1,249,Cutlass+
1,250,Dual Diablo
1,251,Dual Diablo+
1,252,Insector
1,253,Insector+
1,254,Gradios
1,255,Gradios+
1,256,Gradios Ultimus
1,257,Double Dragon
1,258,Dual Dragon Ultimus
1,259,The Chrome Heart
1,260,Barbaroi Blade
1,261,Shiny Rathalos Sword
1,262,Torment (Purgatory)
1,263,White Disaster
1,264,Velocidrome Bite
1,265,Gabas
1,266,Origin Sword G
1,267,Origin Sword G+
1,268,Dragon Agito G
1,269,Dragon Agito G+
1,270,True Dragon's Jaw
1,271,Iron Sword G
1,272,Iron Sword G+
1,273,Rathalos Firesword+
1,274,Greater Serpentblade
1,275,Golden Serpentblade
1,276,Plesioth Crystasword
1,277,Scythe of Menace
1,278,Enforcer's Axe
1,279,Inferno Dragonsword
1,280,Smolder Dragonsword
1,281,Blushing Dame
1,282,Pael Keizah
1,283,Seiglinde+
1,284,Great Golem+
1,285,Devil Slicer
1,286,Chrome Death Razor
1,287,Eternal Eradicator
1,288,Black Belt Blade
1,289,Expert Blade
1,290,Worn Great Sword
1,291,Weathered Grt Sword
1,292,Antique Great Sword
1,293,Epitaph Blade
1,294,Origin Hammer G
1,295,Origin Hammer G+
1,296,Atlas Hammer G
1,297,Atlas Hammer G+
1,298,Devil Masher
1,299,Sanctioned GunHammer
1,300,War Stamper
1,301,War Basher
1,302,Dark Punisher
1,303,Dragon Demolisher
1,304,Kut-Ku Pick
1,305,Kut-Ku Pick+
1,306,Great Nova
1,307,Great Titan
1,308,Black Belt Hammer
1,309,Expert Hammer
1,310,Worn Hammer
1,311,Weathered Hammer
1,312,Antique Hammer
1,313,Pulsating Core
1,314,Origin Lance G
1,315,Origin Lance G+
1,316,Longhorn G
1,317,Longhorn G+
1,318,Dark
1,319,Sanctioned Gunlance
1,320,Dragon Rider Spear
1,321,True BlackDragon Spr
1,322,Black Ruiner Lance
1,323,Black Tempest
1,324,Blaze Tail
1,325,Red Prominence
1,326,Blue Tail
1,327,Blue Prominence
1,328,Gravios Venom Spear
1,329,Black Gravios Spear
1,330,Black Belt Lance
1,331,Expert Lance
1,332,Worn Spear
1,333,Weathered Spear
1,334,Antique Lance
1,335,Matenro
1,336,Origin Knife G
1,337,Origin Knife G+
1,338,Superior Dagger
1,339,Superior Dagger+
1,340,Odyssey Blade
1,341,Deadly Battleaxe
1,342,Kirin Bolt Indora
1,343,True BlackDragon Swd
1,344,Black Ruiner Sword
1,345,Cursed Spirit
1,346,Djinn
1,347,Djinn+
1,348,High Ifrit
1,349,Golden Falchion
1,350,Sandman Spike
1,351,High Sandman Spike
1,352,Melynx Tool
1,353,Black Belt Sword
1,354,Expert Sword
1,355,Great Ninja Sword
1,356,Kirin Bolt Kami
1,357,Ultimus Heaven&Earth
1,358,Sanctioned Blades
1,359,Guild Knight Sabers
1,360,Insect Slicer
1,361,Corpse Blades
1,362,Worn Blades
1,363,Weathered Blades
1,364,Antique Blades
1,365,Eternal Schism
1,366,Obelion
1,367,Titernia
1,368,Ceramic Blos Lance
1,369,Venom Monster
1,370,Legendary Blades
1,371,Serial Edge
1,372,Upper Battleaxe
1,373,Geyser Sword
1,374,Polytan+
1,375,Doom
1,376,Watercutter
1,377,Coma Rod
1,378,Howling G
1,379,Kirin Bolts
1,380,Glutton's Set
2,0,Nothing Equipped
2,1,Crossbow Gun
2,2,Crossbow Gun+
2,3,Hornet Gun
2,4,Valkyrie Fire
2,5,Spartacus Fire
2,6,Shotgun (Azure)
2,7,Shotgun (Emerald)
2,8,Shotgun (Blood)
2,9,Maelstrom
2,10,Sandstorm
2,11,Grenade Launcher
2,12,Titan Launcher
2,13,Arbalest
2,14,Arbalest+
2,15,Tankmage
2,16,Rapidcaster
2,17,Quickcaster
2,18,Meteor Cannon
2,19,Vor Cannon
2,20,Yian Kut-Ku Cannon
2,21,Lao-Shan Lung Cannon
2,22,Injector Cannon
2,23,Flechette Gun
2,24,Demonlock
2,25,Dark Parasol
2,26,Gravios Roar
2,27,Mega Kut-Ku Cannon
2,28,Great Crossbow Gun
2,29,Valkyrie Flame
2,30,Valkyrie Blaze
2,31,Valkyrie Heart
2,32,Gold Valkyrie
2,33,Spartacus Flame
2,34,Spartacus Blaze
2,35,Spartacus Soul
2,36,Silver Spartacus
2,37,Crimson Blue
2,38,Azure Sakura
2,39,Empire Azure Sakura
2,40,Supreme Azure Sakura
2,41,Profusion
2,42,Aqua Blade Shower
2,43,Green Blade Shower
2,44,Crimson Blade Shower
2,45,Bullet Storm
2,46,Maelstrom+
2,47,Sandstorm+
2,48,Desert Tempest
2,49,Sandfall
2,50,Grenade Launcher+
2,51,Titan Launcher+
2,52,Chronos Grenade
2,53,Kut-Ku Anger
2,54,Kut-Ku Rage
2,55,Black Belt Bowgun
2,56,Expert Bowgun
2,57,Island of the Gods
2,58,Dead Parasol
2,59,Angel Parasol
2,60,Sakura Parasol
2,61,Great Arbalest
2,62,Tankmage+
2,63,Bastionmage
2,64,Quickcaster+
2,65,Duelcaster
2,66,Duelcaster+
2,67,Monodevilcaster
2,68,Monodevilcaster+
2,69,Meteor Buster
2,70,Vor Cannon+
2,71,Destiny's Hand
2,72,Kut-Ku Cannon+
2,73,Supreme Lao-Shan Can
2,74,Empr Lao-Shan Cannon
2,75,Honeycomber
2,76,Gravios Howl
2,77,Spring Blossomayhem
3,0,Nothing Equipped
3,1,Leather Helm
3,2,Chain Helm
3,3,Hunter's Helm
3,4,Hunter's Cap
3,5,Velociprey Helm
3,6,Velociprey Cap
3,7,Genprey Helm
3,8,Genprey Cap
3,9,Ioprey Helm
3,10,Ioprey Cap
3,11,Rathian Helm
3,12,Rathian Cap
3,13,Cephalos Helm
3,14,Cephalos Cap
3,15,Battle Helm
3,16,Battle Cap
3,17,Monoblos Helm
3,18,Monoblos Cap
3,19,Bone Helm
3,20,Bone Cap
3,21,Gypceros Helm
3,22,Gypceros Cap
3,23,Rathalos Helm
3,24,Rathalos Cap
3,25,Gravios Helm+
3,26,Gravios Cap+
3,27,Hi-Metal Helm+
3,28,Hi-Metal Cap+
3,29,Diablo Helm+
3,30,Diablo Cap+
3,31,Auroros Helm
3,32,Genesis Headpiece
3,33,Borealis Crown
3,34,Glyph Crown
3,35,Vespoid Helm+
3,36,Vespoid Cap+
3,37,Khezu Helm+
3,38,Khezu Cap+
3,39,Lobster Helm+
3,40,Plesioth Helm+
3,41,Plesioth Cap+
3,42,Hornet Helm+
