ID,Type,Name,Rarity,Category,Subcategory
1,1,Leather Vest,1,Armor,Chest Armor
1,2,Leather Gloves,1,Armor,Arms Armor
1,3,Leather Belt,1,Armor,Waist Armor
1,4,Leather Pants,1,Armor,Leg Armor
1,5,Leather Headgear,1,Armor,Head Armor
1,6,Pawn Talisman,1,Talismans,Talismans
1,7,Iron Sword,1,Weapons,Great Swords
1,8,Hunter's Knife,1,Weapons,Swords and Shields
1,9,Iron Hammer,1,Weapons,Hammers
1,10,Iron Lance,1,Weapons,Lances
1,11,Bone Blaster,1,Weapons,Heavy Bowguns
1,13,Cross Bowgun,1,Weapons,Light Bowguns
1,14,Iron Katana,1,Weapons,Long Swords
1,15,Bone Axe,1,Weapons,Switch Axes
1,16,Iron Gunlance,1,Weapons,Gunlances
1,18,Matched Slicers,1,Weapons,Dual Blades
1,19,Metal Bagpipe,1,Weapons,Hunting Horns
3,2,Hunter's Vambraces,1,Armor,Arms Armor
4,1,Hunter's Mail,1,Armor,Chest Armor
4,5,Hunter's Helm,1,Armor,Head Armor
5,3,Hunter's Faulds,1,Armor,Waist Armor
5,4,Hunter's Greaves,1,Armor,Leg Armor
33,17,Hunter's Bow I,1,Weapons,Bows
66,9,Bone Hammer,1,Weapons,Hammers
