ID,Monster
0,Rathian
1,Gold Rathian
2,Dreadqueen Rathian
3,Rathalos
4,Silver Rathalos
5,Dreadking Rathalos
6,Khezu
7,Yian Kut-Ku
8,Gypceros
9,Plesioth
10,Kirin
11,Velocidrome
12,Gendrome
13,Iodrome
14,Cephadrome
15,Yian Garuga
16,Deadeye Yian Garuga
17,Daimyo Hermitaur
18,Stonefist Hermitaur
19,Shogun Ceanataur
20,Blangonga
21,Rajang
22,Furious Rajang
23,Kushala Daora
24,Chameleos
25,Teostra
26,Bulldrome
27,Tigrex
28,Grimclaw Tigrex
29,Akantor
30,Lavasioth
31,Nargacuga
32,Silverwind Nargacuga
33,Ukanlos
34,Deviljho
35,Savage Deviljho
36,Uragaan
37,Crystalbeard Uragaan
38,Lagiacrus
39,Royal Ludroth
40,Agnaktor
41,Alatreon
42,Duramboros
43,Nibelsnarf
44,Zinogre
45,Thunderlord Zinogre
46,Amatsu
47,Arzuros
48,Redhelm Arzuros
49,Lagombi
50,Snowbaron Lagombi
51,Volvidon
52,Brachydios
53,Kecha Wacha
54,Tetsucabra
55,Drilltusk Tetsucabra
56,Zamtrios
57,Najarala
58,Seltas Queen
59,Gore Magala
60,Shagaru Magala
61,Seltas
62,Seregios
63,Malfestio
64,Glavenus
65,Hellblade Glavenus
66,Astalos
67,Mizutsune
68,Gammoth
69,Nakarkos
70,Great Maccao
71,Aptonoth
72,Apceros
73,Kelbi
74,Mosswine
75,Hornetaur
76,Vespoid
77,Felyne
78,Melynx
79,Velociprey
80,Genprey
81,Ioprey
82,Cephalos
83,Bullfango
84,Popo
85,Giaprey
86,Anteka
87,Remobra
88,Hermitaur
89,Ceanataur
90,Blango
91,Rhenoplos
92,Bnahabra
93,Altaroth
94,Jaggi
95,Jaggia
96,Ludroth
97,Uroktor
98,Slagtoth
99,Gargwa
100,Zamite
101,Konchu
102,Maccao
103,Larinoth
104,Moofah
105,
106,
107,
108,
109,
110,
111,
112,Basarios
113,Gravios
114,Diablos
115,Bloodbath Diablos
116,Lao-Shan Lung
117,Fatalis
118,Crimson Fatalis
119,White Fatalis
120,Rustrazor Ceanataur
121,Congalala
122,Giadrome
123,Barioth
124,Barroth
125,Raging Brachydios
126,Nerscylla
127,Chaotic Gore Magala
128,Nightcloak Malfestio
129,Boltreaver Astalos
130,Soulseer Mizutsune
131,Elderfrost Gammoth
132,Valstrax
133,
134,Ahtal-Ka
135,Great Thunderbug
136,Conga
